 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72
43.9648,0.8874109,-1.090229,50.43918,-4.489073,1.352118,2.751476,0.7280894,0.8896247,17.73341,9.323849,10.94367,10.49667,4.50234,0.005509661,2.90041,8.412766,6.18027,-0.2924242,9.662478,4.833484,3.618863,32.92347,16.39786,1.25993,30.77843,3.456958,-0.7340436,-0.4815925,1.043976,18.1972,3.463305,5.03344,15.12607,35.61694,7.066813,3.008045,2.075761,0.2147558,2.686114,26.62944,1.782867,14.54999,-0.8961261,12.91967,8.666074,12.24449,22.64551,8.533037,-0.4922162,-3.325591,2.494729,32.55874,0.3960714,4.883819,13.6512,-1.006545,-0.8433414,1.918079,20.03251,25.82399,11.43503,0.6520728,-0.4267919,-1.653262,5.637386,-0.5914375,0.1448968,-1.413028,3.421517,13.33813,4.407099,2.824302,22.75714
44.06472,2.465971,-0.4063748,50.42011,-3.291182,-1.583861,2.445555,-1.686262,-0.2611032,19.82812,9.083311,11.40439,8.55273,2.448728,1.342996,4.37879,7.130945,3.844515,1.17687,7.446686,7.559026,1.969687,33.09263,16.09485,3.515773,31.43539,0.7061076,-0.9158551,-1.29081,1.437269,15.84454,3.838588,7.733768,16.7804,32.82403,5.426826,3.229991,3.826972,1.370438,2.075621,22.18644,2.730864,15.46686,-1.560963,15.83063,7.526186,12.15461,23.73716,5.796397,-1.842994,-3.47146,1.544541,35.44217,0.9617569,4.848594,16.01801,-0.5047322,-0.3038266,0.6100914,17.64395,25.8527,13.4585,-1.081063,-1.281053,-3.273456,1.656603,1.264439,-0.06296985,-0.4354455,3.02633,14.43046,5.456967,3.329078,21.87044
44.16464,-0.881855,-2.791797,46.21651,-3.343724,-0.4837286,1.359732,1.135031,-0.5199924,20.01708,7.878178,10.85153,8.090061,3.390512,1.133519,2.713388,4.105931,6.045824,3.221917,5.991412,6.871481,1.422915,30.68422,21.0454,0.9624891,30.61527,3.532851,-1.419448,-0.7261414,2.564017,14.34286,1.720779,10.19217,14.86805,34.86507,8.025318,1.436435,3.272421,-0.5447751,6.630617,23.1936,2.452868,16.57065,-1.61124,15.46211,8.749685,11.1181,22.684,8.065798,-0.1078524,-1.82653,-0.3938646,30.92051,-1.205842,4.16016,14.00732,-0.8614972,0.54237,3.436347,18.5769,24.80846,14.23294,-2.655704,0.3883949,-1.642891,3.26905,-1.008839,-2.335676,1.391473,1.386004,15.10694,7.903783,3.724428,22.90069
44.26456,2.766399,-0.2575488,46.36324,-2.696023,-0.1276404,1.428024,0.7456334,-0.5834525,19.53796,9.458547,10.63685,8.51979,2.886905,1.768281,2.990473,6.361239,3.067441,1.144763,7.826954,6.964924,2.787166,29.7276,26.09022,1.870347,26.83393,-0.7349461,-1.473962,0.1276313,1.883284,13.83105,2.092345,6.925333,13.96371,34.52352,5.944237,3.443787,0.02145529,1.181058,5.866019,21.57993,3.109972,16.66337,-0.8394041,15.45768,6.420149,10.46135,21.6033,9.983396,-1.604303,-3.387434,-0.5746003,30.54442,-0.9802719,5.94621,13.04873,-1.411279,-0.0770359,4.127818,21.59847,23.56655,13.35173,-2.176147,0.901216,-4.00822,2.612344,0.4266519,-1.830029,0.6754341,1.988446,13.8045,5.776856,4.397957,21.46843
44.36448,3.869424,1.473836,48.08747,-4.409264,0.8052127,3.425885,1.550778,-0.322504,18.99269,9.540812,8.202897,8.887029,0.7055601,2.036983,4.065985,3.588076,4.069179,0.3999197,8.880254,3.810816,0.8206515,31.34721,32.10075,3.185004,29.52511,1.823968,0.452037,0.403015,3.218594,13.51679,2.28137,6.604309,14.81726,33.7503,7.140198,3.636105,0.5379734,-1.136985,6.251997,19.76186,6.614831,16.93328,0.750513,14.36553,8.789243,10.01947,21.43931,10.62858,1.410983,-2.461988,1.277182,30.34972,-0.6543676,5.035148,14.28378,-3.065398,-2.917072,0.9616568,27.03137,22.17466,13.10315,-0.276576,-0.3097008,-1.718734,1.995936,-1.304334,-1.597728,0.306537,-0.7973768,13.25738,3.389807,3.511404,20.10508
44.4644,3.907093,0.3569866,44.93884,-3.281046,-0.4686074,2.150169,0.1285777,-0.1948106,19.01308,8.986343,12.45592,5.611211,1.12162,1.817449,3.152028,8.248173,2.483136,3.01902,6.407173,5.321134,0.4836128,28.30376,37.78136,0.1827255,32.36393,-0.09090573,0.6770642,1.196266,4.332819,12.05674,2.03676,8.623983,18.50222,33.52349,8.39432,2.344494,0.7107949,-0.9845647,5.818235,18.79276,13.60963,22.28322,-0.1487136,14.4402,7.620409,9.673436,22.09518,6.371659,-0.3231521,-3.504914,2.49097,30.32706,-1.530527,3.32453,14.55178,-3.843012,-3.849898,2.973386,31.23871,24.91811,9.993032,-1.925577,0.8025959,-1.43427,2.592453,0.9573711,1.315283,0.4127093,1.421382,13.66095,4.928817,5.343987,24.49462
44.56432,4.178531,-0.4636265,45.65777,-1.813425,-0.9611384,1.648478,0.5917024,0.6767646,20.55833,5.626475,7.265013,4.428451,2.27193,0.5543956,2.922434,6.014394,4.812254,1.561021,5.385733,3.945651,-0.9271675,28.58016,39.17467,2.608292,34.08728,-2.70706,-0.2859874,-0.07762922,5.287003,10.6363,2.017468,8.053493,19.50698,33.04235,7.245407,2.832978,-2.215578,2.520333,6.449018,16.16846,16.65089,19.34847,-0.07596362,11.68882,6.24152,8.242599,21.98455,9.399011,-1.59311,-5.251544,2.101094,29.52814,-0.5567079,2.490553,14.65603,-3.700115,-4.714851,3.2168,31.90785,26.53171,11.29303,-3.25658,-1.339175,0.05393695,-0.7391971,-1.548514,2.133105,-1.863007,0.2451918,15.19554,6.721994,3.138665,26.04483
44.66424,2.771796,-0.5779603,41.9906,-1.521259,-1.267745,1.657366,2.353989,0.5079679,22.87204,7.12618,8.962804,6.332713,-0.2630679,1.674114,1.237204,6.312433,2.965287,0.4517181,4.967458,6.143026,1.048574,29.4158,39.39518,1.314222,33.35207,-2.525208,1.490493,0.1619778,2.62171,11.97083,2.666416,8.009365,17.28107,32.93816,7.150555,1.086088,-0.8559957,-1.70008,6.649704,16.31534,18.91815,19.32533,1.658832,12.31554,6.114509,10.13506,21.24274,7.536746,-0.5249597,-2.341707,1.559438,28.2562,0.7652023,4.46267,13.59235,-5.389087,-4.268077,1.537131,35.08369,27.87483,9.427851,-0.48925,1.901064,0.1445784,0.3085384,-1.366489,-0.01222972,-1.165129,-0.4780596,14.31746,5.77725,3.842934,24.47213
44.76416,3.310831,-0.973624,39.69149,-2.890157,-1.016213,1.652704,3.262426,0.4644316,24.39636,7.042941,6.422011,7.38447,-0.3042681,0.5874918,0.4287478,6.047103,3.031146,2.876319,6.08102,6.077545,0.3143964,28.2195,39.88066,-0.1590618,31.9538,0.7028245,0.004152367,1.285242,3.61273,9.592566,3.211555,10.06547,18.2994,30.08021,5.141405,0.4183615,-1.05978,-0.1832507,9.974273,15.74997,17.45679,19.75141,1.528493,13.52627,7.922505,8.752847,21.29055,11.18998,-1.840258,-6.22734,2.834647,26.12859,-1.412026,2.95384,15.00047,-2.926105,-3.503747,2.608773,35.55022,31.22015,11.72641,-2.860368,2.19067,-0.4987817,2.056428,-2.78124,2.919951,0.1196311,1.527231,12.76743,4.953696,0.7529266,25.57608
44.86408,4.705135,-0.8813154,39.09537,-1.018143,-0.6604767,1.609353,2.122734,1.552323,21.35548,6.380979,10.06197,4.810904,-0.004475,5.177449,0.8070564,5.651431,3.622015,1.895793,6.076367,6.352649,1.73865,31.01646,36.85011,1.968485,31.38609,-1.601089,-0.6901709,-1.923905,1.905988,10.81907,1.947665,9.274939,21.97246,35.9009,6.356128,1.25625,-0.7425758,0.2819099,8.105396,16.10582,17.68433,19.55084,2.283084,14.21312,6.188446,7.948789,21.95986,8.946597,-0.2121444,-4.42352,2.854731,27.02893,0.02713184,1.994323,17.42416,-3.307072,-4.234653,0.9311855,33.06517,29.19653,12.01183,-1.160549,1.876164,-0.3597995,2.402404,-1.339906,3.01844,-0.8997505,2.997421,14.15725,3.494724,2.007867,24.02824
